frame_id,source_index,source_label,total_people,queue_pairs,queue_detected,roi_Check-in,roi_Immigration,roi_Security Lane
1,0,File: 2025-11-27 18-27-45.mp4,35,49,True,0,9,6
2,0,File: 2025-11-27 18-27-45.mp4,7,1,False,0,0,2
3,0,File: 2025-11-27 18-27-45.mp4,10,3,False,0,0,3
4,0,File: 2025-11-27 18-27-45.mp4,12,6,True,0,1,3
5,0,File: 2025-11-27 18-27-45.mp4,16,9,True,0,3,3
6,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,3,3
7,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,3,4
8,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,3,3
9,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,3,3
10,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,3,2
11,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,3,2
12,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,3,2
13,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,3,2
14,0,File: 2025-11-27 18-27-45.mp4,14,7,True,0,3,2
15,0,File: 2025-11-27 18-27-45.mp4,14,7,True,0,3,2
16,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,3,3
17,0,File: 2025-11-27 18-27-45.mp4,15,9,True,0,3,3
18,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,3,4
19,0,File: 2025-11-27 18-27-45.mp4,15,9,True,0,3,4
20,0,File: 2025-11-27 18-27-45.mp4,15,9,True,0,3,4
21,0,File: 2025-11-27 18-27-45.mp4,15,9,True,0,3,3
22,0,File: 2025-11-27 18-27-45.mp4,15,9,True,0,3,3
23,0,File: 2025-11-27 18-27-45.mp4,16,10,True,0,3,3
24,0,File: 2025-11-27 18-27-45.mp4,16,10,True,0,3,3
25,0,File: 2025-11-27 18-27-45.mp4,16,10,True,0,3,3
26,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,3,3
27,0,File: 2025-11-27 18-27-45.mp4,15,5,True,0,3,3
28,0,File: 2025-11-27 18-27-45.mp4,16,8,True,0,3,3
29,0,File: 2025-11-27 18-27-45.mp4,16,8,True,0,3,3
30,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,3,3
31,0,File: 2025-11-27 18-27-45.mp4,16,8,True,0,3,3
32,0,File: 2025-11-27 18-27-45.mp4,17,12,True,0,3,4
33,0,File: 2025-11-27 18-27-45.mp4,17,11,True,0,3,4
34,0,File: 2025-11-27 18-27-45.mp4,17,12,True,0,3,4
35,0,File: 2025-11-27 18-27-45.mp4,17,12,True,0,3,4
36,0,File: 2025-11-27 18-27-45.mp4,15,9,True,0,3,4
37,0,File: 2025-11-27 18-27-45.mp4,15,9,True,0,3,4
38,0,File: 2025-11-27 18-27-45.mp4,15,8,True,0,3,4
39,0,File: 2025-11-27 18-27-45.mp4,14,8,True,0,3,4
40,0,File: 2025-11-27 18-27-45.mp4,14,8,True,0,3,4
41,0,File: 2025-11-27 18-27-45.mp4,16,11,True,0,4,4
42,0,File: 2025-11-27 18-27-45.mp4,15,10,True,0,4,4
43,0,File: 2025-11-27 18-27-45.mp4,15,9,True,0,3,4
44,0,File: 2025-11-27 18-27-45.mp4,16,10,True,0,3,4
45,0,File: 2025-11-27 18-27-45.mp4,16,10,True,0,3,4
46,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,3,3
47,0,File: 2025-11-27 18-27-45.mp4,15,6,True,0,3,3
48,0,File: 2025-11-27 18-27-45.mp4,16,8,True,0,3,3
49,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,1,3
50,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,1,3
51,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,1,3
52,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,0,3
53,0,File: 2025-11-27 18-27-45.mp4,15,8,True,0,0,3
54,0,File: 2025-11-27 18-27-45.mp4,13,6,True,0,0,3
55,0,File: 2025-11-27 18-27-45.mp4,14,5,True,0,1,3
56,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,1,3
57,0,File: 2025-11-27 18-27-45.mp4,15,6,True,0,1,3
58,0,File: 2025-11-27 18-27-45.mp4,15,5,True,0,2,3
59,0,File: 2025-11-27 18-27-45.mp4,14,5,True,0,2,3
60,0,File: 2025-11-27 18-27-45.mp4,13,5,True,0,1,2
61,0,File: 2025-11-27 18-27-45.mp4,13,5,True,0,1,2
62,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,2,2
63,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,2,2
64,0,File: 2025-11-27 18-27-45.mp4,14,7,True,0,2,2
65,0,File: 2025-11-27 18-27-45.mp4,13,7,True,0,2,2
66,0,File: 2025-11-27 18-27-45.mp4,13,7,True,0,2,2
67,0,File: 2025-11-27 18-27-45.mp4,13,7,True,0,2,2
68,0,File: 2025-11-27 18-27-45.mp4,13,7,True,0,2,2
69,0,File: 2025-11-27 18-27-45.mp4,13,7,True,0,2,2
70,0,File: 2025-11-27 18-27-45.mp4,13,7,True,0,2,2
71,0,File: 2025-11-27 18-27-45.mp4,13,7,True,0,2,2
72,0,File: 2025-11-27 18-27-45.mp4,14,7,True,0,2,3
73,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,2,3
74,0,File: 2025-11-27 18-27-45.mp4,15,6,True,0,2,3
75,0,File: 2025-11-27 18-27-45.mp4,15,6,True,0,2,3
76,0,File: 2025-11-27 18-27-45.mp4,14,5,True,0,2,3
77,0,File: 2025-11-27 18-27-45.mp4,14,5,True,0,2,3
78,0,File: 2025-11-27 18-27-45.mp4,12,4,False,0,2,1
79,0,File: 2025-11-27 18-27-45.mp4,12,4,False,0,1,1
80,0,File: 2025-11-27 18-27-45.mp4,12,4,False,0,1,1
81,0,File: 2025-11-27 18-27-45.mp4,14,7,True,0,1,3
82,0,File: 2025-11-27 18-27-45.mp4,14,7,True,0,1,3
83,0,File: 2025-11-27 18-27-45.mp4,14,7,True,0,1,3
84,0,File: 2025-11-27 18-27-45.mp4,14,6,True,0,1,3
85,0,File: 2025-11-27 18-27-45.mp4,16,6,True,0,1,5
86,0,File: 2025-11-27 18-27-45.mp4,16,6,True,0,1,5
